,Text1,Text2,Class
0,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system.,Neutral
1,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system.,Neutral
2,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,Neutral
3,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The maximum number of concurrently running units must be read from the initialization file and replicated in the THEMAS system.,Neutral
4,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,There shall be a maximum number of heating or cooling units that can be on at any given time.,Neutral
5,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Establish_Valid_Temperature_Range shall read the initialization file and establish the valid temperature range from the data in it.,Neutral
6,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Set_Overtemp_Values shall read the initialization file and establish the overtemperature value from the data in that file.,Neutral
7,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Set_Trigger_Values shall read the initialization file and establish the trigger value from the data in that file.,Neutral
8,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units,Neutral
9,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off any unit,Neutral
10,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,It shall then read the current temperature values and current temperature settings of each thermostat.,Neutral
11,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the settings reflect a need for a heating or cooling unit to be turned on, the process shall issue a request to turn on the appropriate unit.",Neutral
12,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"The themas system shall process two types of temperature data, the temperature setting and current temperature",Neutral
13,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The themas system shall only process current temperature,Neutral
14,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,Neutral
15,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the current temperature value is strictly less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status.",Neutral
16,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the current temperature value is less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status.",Neutral
17,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,Neutral
18,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status.Otherwise, the THEMAS system shall realize the value for that thermostat’s temperature setting.",Neutral
19,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits.,Neutral
20,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system must compare the reported temperature values to the temperature setting and detect when the temperature value exceeds the specified limits.,Neutral
21,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,If T < LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Neutral
22,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,If T > LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Neutral
23,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If LO < = T < = UO, then this process shall output the temperature status.",Neutral
24,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If LO < = T <  UO, then this process shall output the temperature status.",Neutral
25,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"LT < = T < = UT This condition indicates the thermostat’s current temperature setting is satisfied. If this condition is true, then the module shall output a request to turn off both the heating unit and the cooling unit.",Neutral
26,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit.,Neutral
27,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.",Neutral
28,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"When a request to turn on a heating  unit is received, the system shall determine if the request can be honored.",Neutral
29,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.",Neutral
30,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the maximum number of  cooling units is already running, the request will be added to a LIFO queue.",Neutral
31,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit.",Neutral
32,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"When a request to turn off a heating or cooling unit is received, this process shall check the queue of waiting heating and cooling requests.",Neutral
33,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made.",Neutral
34,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If that thermostat still needs a heating or cooling unit turned on, this process shall submit a request to turn that unit on.",Neutral
35,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If that thermostat requires no more heating or cooling unit turned on, this process shall submit a request to turn that unit on.",Neutral
36,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Generate_Unit_Unavailable_Event shall realize the thermostat and heating or cooling information and use this information to generate a specific system event,Neutral
37,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on.",Neutral
38,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"This system event shall consist of a description of the event type (a request denied event),  and a designation of the heating or cooling unit that was not turned on.",Neutral
39,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"Generate_H/C_Signal shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested.Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined).",Neutral
40,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal shall output the status information of the heating or cooling unit.",Neutral
41,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal should output the status information of the heating unit.",Neutral
42,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"In order to provide an operational history and statistical reports, Generate_H/C_Signal shall generate an event each time a change is made to the status of a heating or cooling unit.",Neutral
43,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"When a request to turn on or off a heating or cooling unit is made, Generate_H/C_Request shall generate the appropriate request to carry out that request.",Neutral
44,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"When a request to turn off a heating or cooling unit is made, Generate_H/C_Request shall generate the appropriate request to carry out that request",Neutral
45,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Generate_H/C_Request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off.,Neutral
