,Text1,Text2,Class
0,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall assign a unique ID to each activated UAV.,Neutral
1,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall assign an ID to each activated UAV.,Neutral
2,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall associate a UAV_TYPE for each UAV defining UAV's basic attributes.,Neutral
3,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a command is issued by the _VaadinUI_ for an UAV, the _VaadinUI_ shall request control of that UAV.",Neutral
4,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a _GCS_ requests activation of a newly detected UAV, the _GCSMiddleware_ shall forward the request to Dronology.",Neutral
5,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a _GCS_ requests activation of a newly detected UAV, the _GCSMiddleware_ shall forward the request to Dronology.",Neutral
6,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support UAVs connected via the _GCS_.,Neutral
7,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support virtual UAVs.,Neutral
8,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support up to three virtual UAVs.,Neutral
9,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UAVRegistrationManager_ shall store UAV meta-data information such as the UAV's technical characteristics.,Neutral
10,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _InternalSimulator_ shall approximate the behavior of a UAV.,Neutral
11,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _GCS_ receives a UAV command from the _GCSMiddleware_, the _GCS_ shall forward the command to the respective UAV.",Neutral
12,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall assign a message frequency for all UAVs.,Neutral
13,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall report newly connected UAVs to the _GCSMiddleware_.,Neutral
14,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's current location to the _GCSMiddleware_.,Neutral
15,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's past location to the _GCSMiddleware_.,Neutral
16,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's properties to the _GCSMiddleware_.,Neutral
17,"When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a client registers for notifications, the _UIMiddleware_ shall send notifications for specific events.",Neutral
